2026-03-15 17:33:52.743 | INFO     | src.telemetry.logger:setup_logging:118 | Logging initialized (level=INFO, dir=./logs)
2026-03-15 17:33:52.751 | INFO     | src.portfolio.ledger:__init__:29 | Ledger initialized at data/ledger.db
2026-03-15 17:33:52.830 | INFO     | src.brokers.kalshi.client:__init__:62 | Kalshi client initialized (key loaded, base_url=https://demo-api.kalshi.co)
2026-03-15 17:33:52.889 | INFO     | src.brokers.kalshi.client:connect:70 | Connected to Kalshi API at https://demo-api.kalshi.co
2026-03-15 17:33:52.895 | INFO     | src.execution.executor:__init__:33 | Executor initialized in DRY RUN mode
2026-03-15 17:33:52.896 | INFO     | src.portfolio.ledger:start_run:172 | Started run a14f0180-88da-4eae-8a4a-ddac9e26b04e (dry_run=True)
2026-03-15 17:33:52.902 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 1...
2026-03-15 17:33:53.296 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 1: 100 events (total: 100)
2026-03-15 17:33:53.299 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 2...
2026-03-15 17:33:53.452 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 2: 100 events (total: 200)
2026-03-15 17:33:53.455 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 3...
2026-03-15 17:33:53.634 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 3: 100 events (total: 300)
2026-03-15 17:33:53.636 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 4...
2026-03-15 17:33:53.868 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 4: 100 events (total: 400)
2026-03-15 17:33:53.871 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 5...
2026-03-15 17:33:54.063 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 5: 100 events (total: 500)
2026-03-15 17:33:54.065 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 6...
2026-03-15 17:33:54.182 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 6: 100 events (total: 600)
2026-03-15 17:33:54.185 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 7...
2026-03-15 17:33:54.290 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 7: 100 events (total: 700)
2026-03-15 17:33:54.293 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 8...
2026-03-15 17:33:54.498 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 8: 100 events (total: 800)
2026-03-15 17:33:54.500 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 9...
2026-03-15 17:33:54.633 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 9: 100 events (total: 900)
2026-03-15 17:33:54.635 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 10...
2026-03-15 17:33:54.736 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 10: 100 events (total: 1000)
2026-03-15 17:33:54.738 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 11...
2026-03-15 17:33:55.014 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 11: 100 events (total: 1100)
2026-03-15 17:33:55.017 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 12...
2026-03-15 17:33:55.204 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 12: 100 events (total: 1200)
2026-03-15 17:33:55.206 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 13...
2026-03-15 17:33:55.367 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 13: 100 events (total: 1300)
2026-03-15 17:33:55.370 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 14...
2026-03-15 17:33:55.595 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 14: 100 events (total: 1400)
2026-03-15 17:33:55.597 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 15...
2026-03-15 17:33:55.973 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 15: 100 events (total: 1500)
2026-03-15 17:33:55.975 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 16...
2026-03-15 17:33:56.335 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 16: 100 events (total: 1600)
2026-03-15 17:33:56.336 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 17...
